layer_name,M,num_parameters,quantization_error,compression_ratio
conv1,4,144,0.783184,8
layer1.0.conv1,4,2304,1.382428,8
layer1.0.conv2,4,2304,1.246082,8
layer1.1.conv1,4,2304,1.290447,8
layer1.1.conv2,4,2304,1.103361,8
layer1.2.conv1,4,2304,1.04025,8
layer1.2.conv2,4,2304,1.174531,8
layer2.0.conv1,4,4608,1.223205,8
layer2.0.conv2,4,9216,1.761443,8
layer2.1.conv1,4,9216,1.707226,8
layer2.1.conv2,4,9216,1.546056,8
layer2.2.conv1,4,9216,1.618178,8
layer2.2.conv2,4,9216,1.464635,8
layer3.0.conv1,4,18432,1.717415,8
layer3.0.conv2,4,36864,2.161733,8
layer3.1.conv1,4,36864,2.19575,8
layer3.1.conv2,4,36864,1.990411,8
layer3.2.conv1,4,36864,1.753476,8
layer3.2.conv2,4,36864,1.842547,8
fc,4,640,0.782789,8
