epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.780276,0.711938,0.512159,0.811417,0.00100000
2,0.452542,0.832042,0.474254,0.826417,0.00097555
3,0.375672,0.861625,0.332727,0.875500,0.00090460
4,0.333810,0.877167,0.293163,0.893917,0.00079410
5,0.303863,0.888292,0.282875,0.894917,0.00065485
6,0.277089,0.898125,0.288223,0.894333,0.00050050
7,0.258967,0.905042,0.253471,0.908667,0.00034615
8,0.242180,0.912458,0.241113,0.911000,0.00020690
9,0.226319,0.917771,0.222670,0.919250,0.00009640
10,0.217913,0.921896,0.211374,0.923333,0.00002545
1,0.780276,0.711938,0.512159,0.811417,0.00100000
2,0.451878,0.832937,0.534126,0.814500,0.00099901
3,0.378000,0.859938,0.346949,0.872333,0.00099606
4,0.339295,0.875062,0.359980,0.869750,0.00099115
5,0.316813,0.883583,0.289997,0.893250,0.00098431
6,0.292504,0.892875,0.319919,0.882333,0.00097555
7,0.280281,0.896729,0.281627,0.897583,0.00096492
8,0.268652,0.903896,0.264943,0.904833,0.00095246
9,0.258128,0.905687,0.266193,0.904917,0.00093822
10,0.252806,0.907979,0.280692,0.899250,0.00092224
11,0.246305,0.909687,0.260989,0.904250,0.00090460
12,0.242776,0.911312,0.270924,0.901500,0.00088537
13,0.237594,0.912792,0.264307,0.900000,0.00086462
14,0.229461,0.917229,0.262163,0.908083,0.00084243
15,0.223604,0.918021,0.250194,0.907667,0.00081889
16,0.221687,0.918604,0.206117,0.925167,0.00079410
17,0.211955,0.921875,0.249713,0.908833,0.00076815
18,0.208980,0.924188,0.238914,0.915167,0.00074114
19,0.207471,0.924500,0.223698,0.918250,0.00071318
20,0.200518,0.926021,0.194485,0.929583,0.00068438
21,0.197678,0.928354,0.197168,0.928583,0.00065485
22,0.192584,0.929292,0.200533,0.927333,0.00062472
23,0.191323,0.930000,0.192635,0.930750,0.00059410
24,0.182219,0.933417,0.315994,0.890500,0.00056310
25,0.182119,0.933417,0.202441,0.926083,0.00053186
26,0.175582,0.936104,0.223285,0.919083,0.00050050
27,0.174975,0.935438,0.189027,0.931500,0.00046914
28,0.173151,0.937333,0.184105,0.933000,0.00043790
29,0.165120,0.939875,0.187159,0.932250,0.00040690
30,0.165702,0.940000,0.184272,0.934917,0.00037628
31,0.158562,0.941500,0.212009,0.923417,0.00034615
32,0.153694,0.944521,0.186708,0.931333,0.00031662
33,0.151524,0.944312,0.169712,0.940000,0.00028782
34,0.147722,0.946208,0.173410,0.936667,0.00025986
35,0.142555,0.948688,0.169432,0.939167,0.00023285
36,0.139818,0.948354,0.183585,0.935250,0.00020690
37,0.140607,0.948271,0.165996,0.940500,0.00018211
38,0.134471,0.950979,0.173547,0.938583,0.00015857
39,0.132091,0.951396,0.169484,0.940583,0.00013638
40,0.128715,0.952292,0.166336,0.943000,0.00011563
41,0.126432,0.953771,0.170974,0.940250,0.00009640
42,0.125368,0.954833,0.168562,0.941250,0.00007876
43,0.124665,0.954438,0.164453,0.943583,0.00006278
44,0.119471,0.956958,0.164355,0.943083,0.00004854
45,0.118394,0.957542,0.166444,0.943083,0.00003608
46,0.117639,0.957208,0.164173,0.942833,0.00002545
47,0.116551,0.957708,0.161444,0.944167,0.00001669
48,0.114377,0.958562,0.164315,0.943250,0.00000985
49,0.114766,0.958375,0.163350,0.943417,0.00000494
50,0.112739,0.959000,0.161553,0.944333,0.00000199
