experiment_name,mode,mode_description,seed,M,final_val_accuracy,final_val_loss,training_time_seconds,inference_time_ms_per_image,total_parameters,model_size_mb,effective_avg_M,compression_ratio,estimated_binary_op_count,estimated_mac_reduction,total_binary_bases,quantization_error_frobenius,accuracy_drop_vs_fp32
smoke_test,A,FP32 Baseline,42,4,0.819000,0.468027,313.703893,17.685302,272186,1.038307,0.000000,1.000000,0,0.000000,0,0.000000,0.000000
smoke_test,A,FP32 Baseline,42,4,0.819000,0.468027,328.629642,2.889561,272186,1.038307,0.000000,1.000000,0,0.000000,0,0.000000,0.000000
