layer_name,M,num_parameters,quantization_error,compression_ratio
conv1,5,144,0.297061,6.4000
layer1.0.conv1,5,2304,0.811484,6.4000
layer1.0.conv2,5,2304,0.829007,6.4000
layer1.1.conv1,5,2304,0.903405,6.4000
layer1.1.conv2,5,2304,0.952357,6.4000
layer1.2.conv1,5,2304,0.845108,6.4000
layer1.2.conv2,5,2304,0.814431,6.4000
layer2.0.conv1,4,4608,1.105602,8.0000
layer2.0.conv2,4,9216,1.585722,8.0000
layer2.1.conv1,4,9216,1.553627,8.0000
layer2.1.conv2,4,9216,1.459943,8.0000
layer2.2.conv1,4,9216,1.570783,8.0000
layer2.2.conv2,4,9216,1.417954,8.0000
layer3.0.conv1,3,18432,2.072868,10.6667
layer3.0.conv2,3,36864,2.710811,10.6667
layer3.1.conv1,3,36864,2.620880,10.6667
layer3.1.conv2,3,36864,2.514350,10.6667
layer3.2.conv1,3,36864,2.233922,10.6667
layer3.2.conv2,3,36864,2.260487,10.6667
fc,2,640,0.865599,16.0000
