epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.769036,0.713375,0.518513,0.796500,0.00100000
2,0.423657,0.845542,0.488728,0.828250,0.00097555
3,0.359350,0.869167,0.358183,0.870250,0.00090460
4,0.321041,0.880354,0.321623,0.882500,0.00079410
5,0.292696,0.893104,0.290344,0.890833,0.00065485
6,0.271872,0.901604,0.282542,0.892250,0.00050050
7,0.250971,0.909104,0.251683,0.902917,0.00034615
8,0.235292,0.913292,0.237460,0.910667,0.00020690
9,0.219641,0.920667,0.216827,0.919000,0.00009640
10,0.214209,0.923167,0.213294,0.920167,0.00002545
